名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
ニューヨークストア住吉店,33.584214,130.415381,購物,福岡,博多區・博多站,"ニューヨークストア
住吉一帶的地區超市，回飯店路上順路。
距東急ステイ博多約 558m／步行約 7 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：OSM 未記錄（現場確認）
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%AF%E3%82%B9%E3%83%88%E3%82%A2%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ハラールフードショップ ナビさん,33.596995,130.223546,購物,福岡,西區,"清真食材專賣店兼餐廳，九州大學伊都／箱崎校區都有據點，西區另有餐廳（約營業到 19:30）。
⚠️ 離市中心較遠；主要是採買清真食材用。
清真：True",google,https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%A9%E3%83%BC%E3%83%AB%E3%83%95%E3%83%BC%E3%83%89%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%20%E3%83%8A%E3%83%93%E3%81%95%E3%82%93%20%E8%A5%BF%E5%8D%80
ファミリーマート（博多・24 小時）,33.584712,130.420871,購物,福岡,博多區・博多站,"ファミリーマート
距飯店 82m 的 24 小時便利商店，深夜回來有熱食與飲料。
距東急ステイ博多約 82m／步行約 1 分（實測直線距離）。座標來自 OSM 節點。
營業：24 小時
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%BC%E3%83%88%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ボンラパス タンブル,33.589036,130.419133,購物,福岡,博多區・博多站,"ボンラパス
偏高級的超市，生鮮與熟食品質好、進口食材多。想買伴手禮級的食品或好一點的水果可以來這裡。
距東急ステイ博多約 448m／步行約 6 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：OSM 未記錄（現場確認）
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%9C%E3%83%B3%E3%83%A9%E3%83%91%E3%82%B9%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
マックスバリュ 博多駅南,33.576986,130.431656,購物,福岡,博多區・博多站,"マックスバリュエクスプレス
イオン 系超市，開到半夜 12 點——這是「行程晚回來還買得到東西」的首選。熟食與便當有折價時段。
距東急ステイ博多約 346m／步行約 4 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：08:00–24:00
建議停留：20–30 分",google,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%90%E3%83%AA%E3%83%A5%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%97%E3%83%AC%E3%82%B9%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
マルショク 博多,33.582306,130.424087,購物,福岡,博多區・博多站,"マルショク
九州本地連鎖超市，價格中庭、品項貼近當地人日常。
距東急ステイ博多約 434m／步行約 5 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：OSM 未記錄（現場確認）
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%AB%E3%82%B7%E3%83%A7%E3%82%AF%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ミスターマックス（24 小時）,33.579133,130.419147,購物,福岡,博多區・博多站,"ミスターマックス
量販店（不只食品，日用品與家電也有），24 小時。缺什麼雜物時來這裡最快。
距東急ステイ博多約 721m／步行約 9 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：24 小時
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%9F%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
レガネットキュート,33.59121,130.419559,購物,福岡,博多區・博多站,"レガネットキュート 博多駅前
都市型小超市，離飯店最近（步行 4 分）。早上 7:30 就開，適合出門前買早餐與飲料。
距東急ステイ博多約 338m／步行約 4 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：平日 07:30–20:00／週末 08:00–20:00
建議停留：20–30 分",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AC%E3%82%AC%E3%83%8D%E3%83%83%E3%83%88%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%88%20%E5%8D%9A%E5%A4%9A%E9%A7%85%E5%89%8D%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ロピア 博多,33.588563,130.42178,購物,福岡,博多區・博多站,"ロピア
以低價與大份量出名的量販型超市，肉品與熟食便宜。份量偏大，適合兩人以上分食或當宵夜。
距東急ステイ博多約 356m／步行約 4 分（實測直線距離）。座標來自 OSM 門口級節點。
營業：OSM 未記錄（現場確認）
建議停留：20–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%83%94%E3%82%A2%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
ローソン（東急ステイ博多 樓下）,33.585565,130.421546,購物,福岡,博多區・博多站,"ローソン
距飯店僅 36m，等於樓下。臨時缺東西最快的一站。
距東急ステイ博多約 36m／步行約 1 分（實測直線距離）。座標來自 OSM 節點。
營業：OSM 未記錄（多為 24 小時，現場確認）
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%83%BC%E3%82%BD%E3%83%B3%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
博多川端商店街,33.593716,130.408092,購物,福岡,博多區,"川端通商店街
福岡最古老的商店街／川端善哉廣場／博多祇園山笠飾山
福岡最老的拱廊商店街（約 130 年），連接櫛田神社與運河城，有頂棚下雨也能逛。名物是川端善哉（紅豆湯）。
多數店 10:00–19:00，部分週三休；與櫛田神社、東長寺、運河城可串成一條線。
建議停留：40–60 分",google,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E7%AB%AF%E9%80%9A%E5%95%86%E5%BA%97%E8%A1%97%20%E5%8D%9A%E5%A4%9A%E5%8D%80
博多運河城,33.5897,130.4113,購物,福岡,博多區,"キャナルシティ博多
運河噴水秀／拉麵競技場（5F）／無敵家・一幸舍
運河造景商場，5F 拉麵競技場一次比較各家豚骨，雨天備案首選。
噴水秀每 30 分一次；拉麵競技場約 11:00–23:00。
營業：10:00–21:00
建議停留：1.5–2 小時",manual,https://www.google.com/maps/search/?api=1&query=%E3%82%AD%E3%83%A3%E3%83%8A%E3%83%AB%E3%82%B7%E3%83%86%E3%82%A3%E5%8D%9A%E5%A4%9A%20%E5%8D%9A%E5%A4%9A%E5%8D%80
博多阪急・AMU PLAZA 博多,33.589295,130.420524,購物,福岡,博多區,"博多阪急
地下食品街（明太子・甜點）／AMU PLAZA 服飾／屋上つばめの杜広場
就在博多站內，回程日採買最有效率的一站購足。
營業：10:00–20:00
建議停留：1.5–2 小時",overpass,https://www.google.com/maps/search/?api=1&query=%E5%8D%9A%E5%A4%9A%E9%98%AA%E6%80%A5%20%E5%8D%9A%E5%A4%9A%E5%8D%80
唐吉訶德 天神本店,33.586374,130.397989,購物,福岡,中央區・天神,"ドン・キホーテ 天神本店
24 小時營業／藥妝・零食・電器／免稅
藥妝零食一次掃完，24 小時營業，逛完屋台或居酒屋還可以來補貨。
免稅需護照；深夜結帳人少最快。
營業：24 小時
建議停留：1 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%89%E3%83%B3%E3%83%BB%E3%82%AD%E3%83%9B%E3%83%BC%E3%83%86%20%E5%A4%A9%E7%A5%9E%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
大丸福岡天神店,33.588641,130.402063,購物,福岡,中央區・天神,"本館＋東館 ELGALA／天神地下街直通／免稅櫃檯
天神另一家大型百貨，與天神地下街直通，雨天不用出地面。
約 10:00–20:00；免稅手續在本館內服務櫃檯辦。
營業：10:00–20:00
建議停留：1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E4%B8%B8%E7%A6%8F%E5%B2%A1%E5%A4%A9%E7%A5%9E%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
天神・天神地下街,33.589572,130.399748,購物,福岡,中央區,"天神地下街
歐風地下街 12 條／三越・岩田屋・PARCO／雨天不濕鞋
福岡最密集的購物核心，地下街連通各百貨，冬天與雨天都不受影響。
多數店 10:00–20:00；假日人潮多。
建議停留：2–3 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E7%A5%9E%E5%9C%B0%E4%B8%8B%E8%A1%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80
岩田屋本店,33.5893,130.398,購物,福岡,中央區・天神,"天神百貨的門面／本館＋新館／B2 食品街與甜點
創業 1754 年，天神商圈的象徵。精品與日系品牌最齊，B2 食品街的甜點伴手禮水準最高。
約 10:00–20:00；與三越、大丸、PARCO 都在步行 5 分內，天神一次逛完。
營業：10:00–20:00
建議停留：1.5–2 小時",manual,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E7%94%B0%E5%B1%8B%E6%9C%AC%E5%BA%97%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
福岡 PARCO,33.590796,130.398607,購物,福岡,中央區・天神,"福岡パルコ
年輕潮牌與動漫周邊／本館＋新館／極味や（漢堡排名店）
天神最年輕的一棟，動漫周邊與潮牌集中；地下有排隊名店「極味や」漢堡排。
約 10:00–20:30；極味や常排 40–60 分，開店前去最快。
營業：10:00–20:30
建議停留：1.5 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E3%83%91%E3%83%AB%E3%82%B3%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
AMU PLAZA 長崎,32.751648,129.871069,購物,長崎,長崎市・長崎站,"アミュプラザ長崎
長崎站直結／2023 新館開幕／長崎伴手禮一站購足
與長崎站直結的購物中心，2023 年新館開幕後規模大增。回程或抵達日買伴手禮最方便。
約 10:00–20:00（餐廳較晚）；與長崎萬豪酒店同一棟建築群。
營業：10:00–20:00
建議停留：1.5–2 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%97%E3%83%A9%E3%82%B6%E9%95%B7%E5%B4%8E%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E7%AB%99
みらい長崎ココウォーク,32.762207,129.864828,購物,長崎,長崎市・茂里町,"屋頂摩天輪／電影院／約 110 間店
長崎最大的複合商場，屋頂有摩天輪可看長崎市區與稻佐山。
路面電車「觀光通」往北約 8 分（茂里町站）。約 10:00–21:00。
營業：10:00–21:00
建議停留：1.5–2 小時",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%81%BF%E3%82%89%E3%81%84%E9%95%B7%E5%B4%8E%E3%82%B3%E3%82%B3%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%AF%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E8%8C%82%E9%87%8C%E7%94%BA
ジョイフルサン 宝町店,32.759569,129.867383,購物,長崎,長崎市・宝町,"長崎本地連鎖超市（ジョイフルサン），想看當地人日常買什麼、或找長崎限定食品可以來這裡。
距Coruscant Hotel 長崎駅Ⅲ約 772m／步行約 10 分（實測直線距離）。座標來自 OSM 節點。
營業：OSM 未記錄（現場確認）
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%83%A7%E3%82%A4%E3%83%95%E3%83%AB%E3%82%B5%E3%83%B3%20%E5%AE%9D%E7%94%BA%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%AE%9D%E7%94%BA
ファミリーマート（長崎駅前）,32.751748,129.871521,購物,長崎,長崎市・大黑町,"ファミリーマート
24 小時，回旅館路上順路；ATM 與宅配寄件都能辦。
距Coruscant Hotel 長崎駅Ⅲ約 489m／步行約 6 分（實測直線距離）。座標來自 OSM 節點。
營業：24 小時
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%BC%E3%83%88%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%91%E7%94%BA
フーズ・ホットライン長崎店,32.756573,129.867504,購物,長崎,長崎市・宝町,"地區型超市，生鮮與熟食便宜，觀光客少、價格實在。
距Coruscant Hotel 長崎駅Ⅲ約 630m／步行約 8 分（實測直線距離）。座標來自 OSM 節點。
營業：OSM 未記錄（現場確認）
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%95%E3%83%BC%E3%82%BA%E3%83%BB%E3%83%9B%E3%83%83%E3%83%88%E3%83%A9%E3%82%A4%E3%83%B3%E9%95%B7%E5%B4%8E%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%AE%9D%E7%94%BA
ローソン（長崎駅Ⅲ 最近）,32.752532,129.872155,購物,長崎,長崎市・大黑町,"ローソン
離旅館最近的 24 小時便利商店。長崎這一帶超市晚上多半關了，深夜靠這裡。
距Coruscant Hotel 長崎駅Ⅲ約 384m／步行約 5 分（實測直線距離）。座標來自 OSM 節點。
營業：24 小時
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E3%83%AD%E3%83%BC%E3%82%BD%E3%83%B3%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%91%E7%94%BA
夢彩都,32.746263,129.870253,購物,長崎,長崎市・元船町,"長崎港旁購物中心／超市與美食街
長崎港邊的購物中心，離大波止（軍艦島船碼頭）步行 3 分——2/7 等船或下船後的最佳去處。
約 10:00–20:00。
營業：10:00–20:00
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E5%BD%A9%E9%83%BD%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%85%83%E8%88%B9%E7%94%BA
岩永 梅寿軒,32.746667,129.880997,購物,長崎,長崎市,"1830 年創業的和菓子老鋪，長崎蜂蜜蛋糕的第三個選擇（福砂屋、文明堂之外的行家選項）。
⚠️ 蜂蜜蛋糕常需預約，當日不一定買得到。
食べログ 3.68",google,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%B0%B8%20%E6%A2%85%E5%AF%BF%E8%BB%92%20%E9%95%B7%E5%B4%8E%E5%B8%82
文明堂總本店,32.745624,129.872428,購物,長崎,長崎市,"文明堂総本店
1900 年創業的蜂蜜蛋糕大廠，與福砂屋並列長崎兩大。福砂屋走扎實濕潤、文明堂偏細緻鬆軟，可以各買一條比較。
約 09:00–18:00；濱町與長崎站都有店。
營業：09:00–18:00
建議停留：20 分",google,https://www.google.com/maps/search/?api=1&query=%E6%96%87%E6%98%8E%E5%A0%82%E7%B7%8F%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
福砂屋 本店,32.741644,129.879395,購物,長崎,長崎市,"1624 年創業的蜂蜜蛋糕元祖，長崎伴手禮的第一選擇。
Cube 小包裝適合送人；本店在思案橋一帶。
營業：09:30–17:00
建議停留：20 分",google,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E7%A0%82%E5%B1%8B%20%E6%9C%AC%E5%BA%97%20%E9%95%B7%E5%B4%8E%E5%B8%82
西友 長崎,32.751239,129.87099,購物,長崎,長崎市・大黑町,"西友
離長崎駅Ⅲ 最近的大型超市，西友系品項齊全，適合公寓式房型自炊或買宵夜。
距Coruscant Hotel 長崎駅Ⅲ約 563m／步行約 7 分（實測直線距離）。座標來自 OSM 節點。
營業：OSM 未記錄（現場確認；西友多為 24 小時或到深夜）
建議停留：10–30 分",overpass,https://www.google.com/maps/search/?api=1&query=%E8%A5%BF%E5%8F%8B%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%91%E7%94%BA
長崎濱町商店街,32.743942,129.878602,購物,長崎,長崎市,"浜町アーケード
有頂棚商店街／燈會裝飾／觀光通
長崎最大的有頂棚商店街，燈會期間整條掛滿燈籠，下雨也能逛。
建議停留：1 小時",google,https://www.google.com/maps/search/?api=1&query=%E6%B5%9C%E7%94%BA%E3%82%A2%E3%83%BC%E3%82%B1%E3%83%BC%E3%83%89%20%E9%95%B7%E5%B4%8E%E5%B8%82
