名稱,緯度,經度,類別,城市,區域,說明,座標精度,Google Maps
ホテル日航福岡,33.591509,130.417192,住宿,福岡,博多區・博多站,"博多站博多口步行約 3 分／老牌全服務型飯店／房間坪數大
博多站正對面的老牌大飯店，房間比商務飯店寬敞、服務穩定，適合想住舒服一點但不到 Hyatt 價位的人。
⚠️ 建築較舊（近年有整修部分樓層），訂房時注意選整修過的房型。
建議停留：博多站派的替代",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E6%97%A5%E8%88%AA%E7%A6%8F%E5%B2%A1%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
リッチモンドホテル福岡天神,33.589323,130.396575,住宿,福岡,中央區・天神,"天神商圈步行圈／日本商務飯店滿意度常年前段／中洲步行約 10 分
天神一帶的高評價平價選擇，房間乾淨、床好睡，價格通常明顯低於 Solaria。想省住宿預算把錢放到旅館與吃的，選這個。
⚠️ 無大浴場、房間偏小。
建議停留：預算型選擇",google,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%83%E3%83%81%E3%83%A2%E3%83%B3%E3%83%89%E3%83%9B%E3%83%86%E3%83%AB%E7%A6%8F%E5%B2%A1%E5%A4%A9%E7%A5%9E%20%E4%B8%AD%E5%A4%AE%E5%8D%80%E3%83%BB%E5%A4%A9%E7%A5%9E
東急STAY博多,33.585394,130.421218,住宿,福岡,博多區・博多站,"東急ステイ博多
博多站步行圈／客室內洗衣烘乾機與微波爐／長住型房型
✅ 已訂（2/3–2/12，9 晚連住）。住宅雙人房・禁菸・19 ㎡・160cm 床 1 張・可住 1–2 人，房內附洗衣烘乾機——12 天行程走到中段一定要洗衣服，這點比大浴場更實用。博多站步行圈，地鐵 5 分到機場。早鳥 90 天方案，僅客房（不含餐）。
✅ 已訂到含洗衣烘乾機的住宅雙人房。不含餐，早餐需自理（博多站周邊選擇多）。2/12 退房 → 當日 16:25 回來取行李，需向櫃檯確認退房後寄放行李（4 件）。
建議停留：住 9 晚（2/3–2/11）",nominatim,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E5%8D%9A%E5%A4%9A%20%E5%8D%9A%E5%A4%9A%E5%8D%80%E3%83%BB%E5%8D%9A%E5%A4%9A%E7%AB%99
Coruscant Hotel 長崎駅Ⅰ,32.752201,129.872314,住宿,長崎,長崎市・大黒町,"コルサントホテル 長崎駅Ⅰ
JR 長崎駅 徒步約 6 分（三館最近）／車站前商業街區、便利商店最多／公寓式客室（廚房・洗衣機）
✅ 已選定（長崎 3 晚：2/5–2/7）。三館中離 JR 長崎駅最近（徒步 6 分）——你有兩趟要拖行李（2/5 抵達、2/8 早上 07:20 出發去湯布院），這兩趟省下的比較有感。大黒町是車站正前方街區，便利商店與餐廳最多。公寓式客室有廚房與洗衣機。
⚠️ 三館其實彼此只差 55–160 公尺（實測座標），官方標的 6／8／9 分主要是繞路差異而非距離差異，所以選哪館的實際落差比帳面小。⚠️ 共同的代價：三館都在車站一帶、不在燈會會場旁——每晚看完燈（22:00）要搭電車回來（長崎駅前電停，末班約 23:00）。若想「看完燈直接走回房間」，要改住濱町的 Forza／JAL City。
長崎県長崎市大黒町7番15号
建議停留：住 3 晚（2/5–2/7）",manual,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%AB%E3%82%B5%E3%83%B3%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%20%E9%95%B7%E5%B4%8E%E9%A7%85%E2%85%A0%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%92%E7%94%BA
Coruscant Hotel 長崎駅Ⅱ,32.753094,129.872681,住宿,長崎,長崎市・大黒町,"コルサントホテル 長崎駅Ⅱ
長崎駅 徒步約 8 分／公寓式客室
與 Ⅰ 同一街區，官方標示徒步 8 分，是三館中最遠的一館——除非 Ⅰ、Ⅲ 都沒房，否則沒有特別選它的理由。
⚠️ 位置上沒有勝過另兩館之處。
長崎県長崎市大黒町5番10号
建議停留：備選",manual,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%AB%E3%82%B5%E3%83%B3%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%20%E9%95%B7%E5%B4%8E%E9%A7%85%E2%85%A1%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E5%A4%A7%E9%BB%92%E7%94%BA
Coruscant Hotel 長崎駅Ⅲ,32.753513,129.873001,住宿,長崎,長崎市・筑後町,"コルサントホテル 長崎駅Ⅲ
長崎駅前電停 徒步約 5 分／縣營巴士總站 徒步約 3 分／公寓式客室（廚房・洗衣機）
（備選）到路面電車「長崎駅前」電停徒步 5 分、縣營巴士總站徒步 3 分（上稻佐山的接駁在這裡發車），是三館中電車動線最好的一館，也是最新的（2020 年 7 月開業）。若你更在意每天搭電車的便利勝過拖行李那兩趟，改回這館。
⚠️ 離 JR 長崎駅東口約 9 分，2/5 抵達與 2/8 早上 07:20 出發要拖行李走這段。
長崎県長崎市筑後町1番1号
建議停留：備選",manual,https://www.google.com/maps/search/?api=1&query=%E3%82%B3%E3%83%AB%E3%82%B5%E3%83%B3%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%20%E9%95%B7%E5%B4%8E%E9%A7%85%E2%85%A2%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E7%AD%91%E5%BE%8C%E7%94%BA
ダイワロイネットホテル長崎,32.757479,129.868415,住宿,長崎,長崎市・濱町,"濱町商店街旁／房間坪數比同級大／燈會會場步行圈
與 Forza 同一區、同樣走路到燈會與商店街，房間普遍比一般商務飯店大一些。兩家二選一，看哪家先有房。
⚠️ 同上，燈會期間要極早訂。
建議停留：長崎的替代選擇",google,https://www.google.com/maps/search/?api=1&query=%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E9%95%B7%E5%B4%8E%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%BF%B1%E7%94%BA
ホテルJALシティ長崎,32.74158,129.87588,住宿,長崎,長崎市・思案橋,"思案橋・濱町步行圈／長崎最熱鬧的飲食街旁／燈會會場步行約 10 分
位在思案橋——長崎最密集的居酒屋與飲食街，晚上想再喝一杯或吃宵夜最方便；到燈會與商店街同樣是走路距離。
⚠️ 飲食街旁邊，週末夜間可能較吵，怕吵的選高樓層。
建議停留：想吃喝方便時的選擇",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%ABJAL%E3%82%B7%E3%83%86%E3%82%A3%E9%95%B7%E5%B4%8E%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%80%9D%E6%A1%88%E6%A9%8B
ホテルフォルツァ長崎,32.743896,129.877897,住宿,長崎,長崎市・濱町,"濱町商店街／觀光通步行圈／燈會主會場步行約 8 分／路面電車觀光通站旁
（備選，燈會走路距離最近）就在濱町拱廊商店街旁，購物、吃飯、燈會三件事都用走路解決——2/5–2/7 看完夜間燈會（22:00 結束）直接走回飯店，不必等末班電車。
⚠️ 這三晚是全趟最貴、最先賣完的時段（燈會 2/5–2/21 ＋ 農曆初一 2/6），現在就要訂。
建議停留：備選",nominatim,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E3%83%95%E3%82%A9%E3%83%AB%E3%83%84%E3%82%A1%E9%95%B7%E5%B4%8E%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E6%BF%B1%E7%94%BA
長崎萬豪酒店,32.751931,129.869474,住宿,長崎,長崎市・長崎站,"長崎マリオットホテル
2023 開業，長崎最新最高級／AMU PLAZA 長崎直結／高樓層看長崎港與稻佐山
⭐ 品質最高的選擇。2023 年開業，就在長崎站上方、與 AMU PLAZA 直結，購物與轉車都在同一棟，房間與夜景水準是長崎最好的。
⚠️ 唯一缺點：離燈會主會場（湊公園／中華街）要搭路面電車約 10 分——夜間看燈會回程要注意電車時間（約 23:00 收班）。若你更在意飯店品質與車站購物，選這家；更在意燈會走路距離，選 Forza。
建議停留：品質優先時的首選",google,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%20%E9%95%B7%E5%B4%8E%E5%B8%82%E3%83%BB%E9%95%B7%E5%B4%8E%E7%AB%99
